model,group_type,group,n,sessions,PREFIX,score_contribution,longitudinal_MAE,lateral_MAE,lateral_abs_total_share
DEV_DIRECT_heldout,future_first2_speed_change,nonstop_range_le_0p5mps,1306,11,0.1356397352045123,0.08866140849704358,0.10513774759205394,0.06034082175517476,0.6994722395059544
DEV_DIRECT_heldout,future_first2_speed_change,nonstop_range_gt_0p5mps,569,11,0.17642604085340555,0.050243452074868744,0.14907461904998937,0.05871601775627018,0.29522850063934447
DEV_DIRECT_heldout,future_first2_speed_change,stop_or_depart,123,6,0.24866443348922726,0.015308170830417894,0.5305078122991316,0.04847620770775738,0.005299259854701125
DEV_DIRECT_heldout,first_interval_speed_bins,0_to_0.5_mps,131,7,0.24619318110665336,0.01614179515764344,0.4423735000196853,0.0430824774522267,0.0062226851233723735
DEV_DIRECT_heldout,first_interval_speed_bins,0.5_to_2_mps,36,8,0.23839571149417077,0.004295418225120194,0.21980059798596455,0.02336108881313014,0.0067426131879732695
DEV_DIRECT_heldout,first_interval_speed_bins,2_to_5_mps,101,8,0.18622016729383406,0.009413531980318938,0.15912487220234703,0.0579452129405078,0.05174988162744023
DEV_DIRECT_heldout,first_interval_speed_bins,5_to_10_mps,503,11,0.16791138610308676,0.042271985590516835,0.138666026543476,0.06158472157747378,0.2758085831545685
DEV_DIRECT_heldout,first_interval_speed_bins,10_to_15_mps,954,9,0.13008157815212035,0.062111023802363774,0.10481306542885094,0.05498188401041011,0.4670192713401195
DEV_DIRECT_heldout,first_interval_speed_bins,15_to_inf_mps,273,3,0.1462219587525323,0.019979276646367027,0.10102360855113508,0.07917793612873679,0.19245696556652597
FULL_infit_UTURN_train375,groups,depart,20,1,0.3689113353063994,0.0196752712163413,0.5081358653786153,0.03743136565898337,0.010213958782165694
FULL_infit_UTURN_train375,groups,nonstop,223,3,0.4226982002485727,0.2513645297478179,0.3150437921921502,0.21541131068910635,0.9897860412178344
FULL_infit_UTURN_train375,groups,steady,132,1,0.009420142624664217,0.003315890203881805,,,0.0
